land,rb,kreis,vb,gemeindename,_ars_gemeinde,kennzeichen,flaeche_km2,bev_geseamt,bev_maennl,bev_weibl,bev_pro_km2,plz,longitude,latitude,reisegebiet_name,urbanisierung_cat
Schleswig-Holstein,,Dithmarschen,Heider Umland,Norderwöhrden,010515172081,Kreisangehörige Gemeinde,18.47,257,140,117,14,25746,"9,000232","54,192783",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Nordhastedt,010515172082,Kreisangehörige Gemeinde,26.56,2827,1418,1409,106,25785,"9,182991","54,17205",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Ostrohe,010515172087,Kreisangehörige Gemeinde,6.66,915,464,451,137,25746,"9,130804","54,214",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Stelle-Wittenwurth,010515172107,Kreisangehörige Gemeinde,10.71,413,195,218,39,25795,"9,066849","54,254357",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Wöhrden,010515172113,Kreisangehörige Gemeinde,21.77,1260,628,632,58,25797,"8,994508","54,165463",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Weddingstedt,010515172122,Kreisangehörige Gemeinde,17.89,2303,1144,1159,129,25795,"9,088863","54,239275",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Wesseln,010515172130,Kreisangehörige Gemeinde,3.76,1433,710,723,381,25746,"9,075443","54,208327",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Albersdorf,010515175001,Kreisangehörige Gemeinde,17.12,3708,1812,1896,217,25767,"9,283995","54,146557",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Arkebek,010515175002,Kreisangehörige Gemeinde,6.92,223,115,108,32,25767,"9,250362","54,160197",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Bargenstedt,010515175004,Kreisangehörige Gemeinde,11.9,962,464,498,81,25704,"9,144199","54,095594",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Barlt,010515175006,Kreisangehörige Gemeinde,22.88,752,370,382,33,25719,"9,058002","54,012444",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Bunsoh,010515175015,Kreisangehörige Gemeinde,11.75,777,389,388,66,25767,"9,320225","54,165522",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Busenwurth,010515175017,Kreisangehörige Gemeinde,10.09,310,157,153,31,25719,"9,041298","54,041407",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Elpersbüttel,010515175027,Kreisangehörige Gemeinde,30.17,844,432,412,28,25704,"9,047156","54,072963",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Epenwöhrden,010515175028,Kreisangehörige Gemeinde,13.52,766,378,388,57,25704,"9,052894","54,112805",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Gudendorf,010515175039,Kreisangehörige Gemeinde,6.04,390,195,195,65,25693,"9,1082","54,024736",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Immenstedt,010515175054,Kreisangehörige Gemeinde,3.09,97,40,57,31,25767,"9,299737","54,180686",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Krumstedt,010515175063,Kreisangehörige Gemeinde,15.89,471,237,234,30,25727,"9,177954","54,068684",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,"Meldorf, Stadt",010515175074,Stadt,21.26,7247,3463,3784,341,25704,"9,068784","54,090945",Nordsee,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Nindorf,010515175078,Kreisangehörige Gemeinde,8.75,1153,582,571,132,25704,"9,114943","54,086722",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Odderade,010515175083,Kreisangehörige Gemeinde,11.27,323,155,168,29,25785,"9,190795","54,139384",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Offenbüttel,010515175085,Kreisangehörige Gemeinde,13.95,251,121,130,18,25767,"9,357994","54,169186",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Osterrade,010515175086,Kreisangehörige Gemeinde,17.09,413,211,202,24,25767,"9,353264","54,190212",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Sarzbüttel,010515175098,Kreisangehörige Gemeinde,13.39,696,357,339,52,25785,"9,184289","54,118971",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Schafstedt,010515175099,Kreisangehörige Gemeinde,18.16,1248,605,643,69,25725,"9,293675","54,079915",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Schrum,010515175104,Kreisangehörige Gemeinde,5.01,72,36,36,14,25782,"9,251667","54,187229",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Wennbüttel,010515175126,Kreisangehörige Gemeinde,4.59,84,41,43,18,25767,"9,3225","54,138606",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Windbergen,010515175134,Kreisangehörige Gemeinde,17.31,792,405,387,46,25729,"9,117779","54,044978",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Wolmersdorf,010515175135,Kreisangehörige Gemeinde,6.11,317,160,157,52,25704,"9,103978","54,077114",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Nordermeldorf,010515175137,Kreisangehörige Gemeinde,34.1,604,319,285,18,25704,"9,013736","54,112068",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Mitteldithmarschen,Tensbüttel-Röst,010515175138,Kreisangehörige Gemeinde,19.36,670,331,339,35,25767,"9,228605","54,105741",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Büsum,010515178013,Kreisangehörige Gemeinde,8.48,4907,2301,2606,579,25761,"8,859577","54,130341",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Büsumer Deichhausen,010515178014,Kreisangehörige Gemeinde,2.87,358,165,193,125,25761,"8,890088","54,136175",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Friedrichsgabekoog,010515178033,Kreisangehörige Gemeinde,8.62,53,29,24,6,25764,"8,941082","54,157516",übrig. Schleswig-Holstein,gering besiedelt
